[0.12701258 0.20613195 0.03214771 0.28238645 0.31227404 0.04004734],[0.05578388 0.10405025 0.00497797 0.08763422 0.09213413 0.00886843]
[0.14559017 0.214678   0.03622379 0.26114678 0.29669532 0.0456665 ],[0.06640299 0.10612328 0.0077582  0.08192974 0.09151342 0.01225765]
[0.13133882 0.233221   0.03477172 0.2529559  0.30605724 0.04165481],[0.05672634 0.11670201 0.00679907 0.07911425 0.09340543 0.00874705]
[0.12968265 0.22001506 0.0336828  0.2608379  0.30823585 0.04754563],[0.05929123 0.11004861 0.00626157 0.0834504  0.09534601 0.01351994]
[0.12294631 0.22992186 0.03512537 0.25997052 0.3049371  0.04709933],[0.05629222 0.11265897 0.00594932 0.08739987 0.09758114 0.01219773]
[0.12757522 0.2138699  0.03325739 0.26982602 0.3107645  0.04470736],[0.0558428  0.10549706 0.00651692 0.08665706 0.09448248 0.0117944 ]
[0.13442859 0.22647397 0.03475059 0.25948772 0.3030675  0.04179127],[0.05986904 0.11112578 0.00774351 0.08093918 0.09153615 0.00962002]
[0.13550077 0.21539101 0.02916465 0.27715686 0.30397382 0.03881261],[0.06471679 0.1086296  0.00446538 0.09016029 0.0949397  0.0094924 ]
[0.13361637 0.23322044 0.03011918 0.2563464  0.30929005 0.03740723],[0.06400991 0.11780307 0.00491695 0.08314295 0.09543039 0.00726975]
[0.12575595 0.24042599 0.03066197 0.2493347  0.31162205 0.04219936],[0.05968164 0.12216984 0.00597829 0.08225327 0.09763044 0.01130709]
[0.13020833 0.24376251 0.03242054 0.2524685  0.30545506 0.03568388],[0.06130012 0.1248383  0.0070424  0.08296154 0.09777343 0.00712577]
[0.12424509 0.21599045 0.03407972 0.27914247 0.30632174 0.04022083],[0.05525893 0.10998561 0.00649564 0.09003071 0.09494787 0.00911349]
[0.14019866 0.22760227 0.03472151 0.25107953 0.30533022 0.04106827],[0.06738953 0.11569885 0.00784243 0.08357669 0.09782371 0.0110052 ]
[0.1358837  0.23070508 0.03026025 0.26290178 0.30405498 0.03619368],[0.06702189 0.11696306 0.00580599 0.0883764  0.0998016  0.00789826]
[0.13599056 0.2310186  0.03221839 0.27426127 0.29194415 0.03456653],[0.06292357 0.11739522 0.00785974 0.09399202 0.09293605 0.00695499]
[0.15061103 0.21095535 0.03432485 0.2599079  0.3022849  0.04191643],[0.07277093 0.10833818 0.00815124 0.08501287 0.09489618 0.01123061]
[0.1499631  0.20712449 0.03780319 0.26596215 0.29480594 0.04434137],[0.07024036 0.10349937 0.00929566 0.08879469 0.0911233  0.01108841]
[0.1388695  0.21978888 0.03785455 0.25940713 0.30134657 0.04273384],[0.06674641 0.11040611 0.0102827  0.08480414 0.09433556 0.01091252]
[0.14495906 0.21220924 0.03437464 0.2574871  0.30406392 0.04690623],[0.07024861 0.10474872 0.00697352 0.08300765 0.0926852  0.01282759]
[0.15196607 0.2183731  0.02908297 0.262483   0.2993637  0.03873057],[0.07639794 0.11432587 0.0055764  0.08994263 0.09763975 0.01020228]
[0.1466592  0.20880389 0.03027341 0.26807937 0.30762002 0.03856439],[0.07274508 0.10819528 0.00549759 0.08980089 0.09522774 0.00882285]
